-0.3929	-0.1805	-0.6638	-0.5808	0.5368
0.2677	-0.0576	-0.0552	0.5401	-0.8368
0.3873	-0.2155	-0.5290	0.5656	0.0970
0.0136	0.0237	0.6859	0.5889	0.0604
-0.6337	-0.2867	0.3854	-0.7418	0.4132
0.3230	0.2781	0.8715	-0.7434	-0.2055
0.4205	-0.4252	-0.5230	-0.4167	-0.3867
-0.3176	-0.3894	0.8036	0.5880	0.2061
0.5708	0.2456	-0.5321	-0.2714	-0.6059
-0.7027	-0.2235	0.0470	0.4211	0.6315
0.1926	0.1420	-0.5151	0.1758	-0.1703
0.4895	-0.1991	-0.2438	-0.6205	0.8459
-0.1358	0.4488	-0.5255	-0.2154	-0.0399
-0.7987	-0.4129	-0.5689	0.3354	0.6183
