0.4794	0.9875	-0.3109	0.7922	-0.2597
-0.4585	-0.8430	-0.5660	-0.1387	0.7466
0.2841	0.6532	0.7288	0.0579	-0.3342
0.0853	-0.2942	0.2956	0.9210	0.1119
0.2177	0.3986	-0.5827	0.6173	0.6397
0.6536	-0.1801	0.3366	0.1362	-0.0181
-0.0835	0.3294	-0.2404	0.1000	-0.4341
-0.6391	-0.3673	0.3963	-0.4159	-0.3210
-0.0718	-0.0034	0.6083	0.5645	-0.2368
0.5271	0.6114	-0.3781	-0.1665	-0.5543
0.0465	-0.6374	0.0927	0.5288	0.0520
0.5976	-0.2061	0.6907	-0.6877	-0.1432
0.1720	0.4020	0.5113	0.4389	-0.6388
-0.1924	-0.3079	-0.9071	0.3113	-0.8907
