-0.5835	0.4968	0.2036	0.1678	0.4205
0.0594	-0.0220	0.1696	-0.0097	0.6043
0.3949	-0.3386	0.6663	0.4032	0.6484
-0.2299	-0.8982	-0.0242	-0.3704	0.9498
-0.6918	-0.2914	0.7166	-0.4976	-0.0592
0.4479	0.5404	0.0893	-0.8501	0.4581
0.7239	0.4425	-0.3687	0.3622	0.1473
0.9068	-0.3832	-0.5683	-0.2001	-0.4759
0.0242	0.1904	-0.0768	0.0971	-0.5736
0.2482	0.7624	0.2744	-0.7565	-0.1533
-0.6550	0.2370	0.8689	0.6093	0.2207
0.9644	-0.1330	-0.2737	0.0599	0.6027
-0.3760	-0.2101	-0.2077	0.0544	-0.2547
-0.1418	-0.3849	-0.7567	0.3361	0.1004
