-0.8637	-0.0395	0.3884	-0.7777	-0.5517
-0.1961	0.2101	-0.4712	0.3157	0.5980
-0.6248	0.1697	0.0915	0.2366	-0.5326
0.0163	-0.0063	-0.2130	0.3587	0.1056
-0.1277	-0.5194	-0.3663	-0.1484	0.4143
0.1918	-0.2145	0.0441	-0.6949	-0.5642
-0.1091	-0.0849	-0.0608	0.2104	-0.6026
-0.2229	-0.5328	0.2056	-0.3351	0.4778
0.1446	0.4147	0.1124	0.3267	-0.0542
0.4911	-0.3723	0.0930	-0.6831	-0.1372
-0.0974	-0.0839	0.4978	-0.6904	0.0255
0.5913	0.4185	0.1539	0.7184	-0.0044
0.2386	0.3425	-0.6247	0.2254	-0.5772
0.5938	0.8457	-0.4441	0.8278	-0.3121
